정류장명,시군구,읍면동,동내동명N,카카오맵,네이버맵,ARS,stop_id,lat,lon
청량산터널앞,창원시마산합포구,가포동,2,"https://map.kakao.com/link/map/%EC%B2%AD%EB%9F%89%EC%82%B0%ED%84%B0%EB%84%90%EC%95%9E,35.1684454,128.561119",https://map.naver.com/p?lng=128.561119&lat=35.1684454&zoom=18,300638,CWB379006154,35.168445,128.561119
청량산터널앞,창원시마산합포구,가포동,2,"https://map.kakao.com/link/map/%EC%B2%AD%EB%9F%89%EC%82%B0%ED%84%B0%EB%84%90%EC%95%9E,35.1685633,128.560888",https://map.naver.com/p?lng=128.560888&lat=35.1685633&zoom=18,300637,CWB379006153,35.168563,128.560888
경남은행연수원,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EA%B2%BD%EB%82%A8%EC%9D%80%ED%96%89%EC%97%B0%EC%88%98%EC%9B%90,35.2164955,128.5606437",https://map.naver.com/p?lng=128.5606437&lat=35.2164955&zoom=18,406101,CWB379001018,35.216496,128.560644
노비산입구,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EB%85%B8%EB%B9%84%EC%82%B0%EC%9E%85%EA%B5%AC,35.2134164,128.5713262",https://map.naver.com/p?lng=128.5713262&lat=35.2134164&zoom=18,307202,CWB379001053,35.213416,128.571326
롯데캐슬프리미어아파트,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%EB%A1%AF%EB%8D%B0%EC%BA%90%EC%8A%AC%ED%94%84%EB%A6%AC%EB%AF%B8%EC%96%B4%EC%95%84%ED%8C%8C%ED%8A%B8,35.216089,128.564477",https://map.naver.com/p?lng=128.564477&lat=35.216089&zoom=18,422901,CWB379001008,35.216089,128.564477
마산성로원,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EB%A7%88%EC%82%B0%EC%84%B1%EB%A1%9C%EC%9B%90,35.2137391,128.5622032",https://map.naver.com/p?lng=128.5622032&lat=35.2137391&zoom=18,306118,CWB379001047,35.213739,128.562203
마산성로원,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EB%A7%88%EC%82%B0%EC%84%B1%EB%A1%9C%EC%9B%90,35.213492,128.5620032",https://map.naver.com/p?lng=128.5620032&lat=35.213492&zoom=18,306117,CWB379001054,35.213492,128.562003
서원곡입구,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EC%84%9C%EC%9B%90%EA%B3%A1%EC%9E%85%EA%B5%AC,35.2114821,128.5632043",https://map.naver.com/p?lng=128.5632043&lat=35.2114821&zoom=18,306116,CWB379001088,35.211482,128.563204
서원곡입구,창원시마산합포구,교방동,2,"https://map.kakao.com/link/map/%EC%84%9C%EC%9B%90%EA%B3%A1%EC%9E%85%EA%B5%AC,35.2113336,128.5629685",https://map.naver.com/p?lng=128.5629685&lat=35.2113336&zoom=18,306115,CWB379001108,35.211334,128.562969
합포고등학교,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%ED%95%A9%ED%8F%AC%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90,35.2086579,128.5636701",https://map.naver.com/p?lng=128.5636701&lat=35.2086579&zoom=18,306120,CWB379003379,35.208658,128.56367
합포주유소,창원시마산합포구,교방동,1,"https://map.kakao.com/link/map/%ED%95%A9%ED%8F%AC%EC%A3%BC%EC%9C%A0%EC%86%8C,35.2123434,128.5715602",https://map.naver.com/p?lng=128.5715602&lat=35.2123434&zoom=18,307201,CWB379001072,35.212343,128.57156
